shape,rate,shift,llh.missing,llh.all
6.5625,0.71875,8.625,-206.098156664214,-206.098156664214
6.5625,0.71875,8.875,-206.644239630642,-206.644239630642
7.1875,0.71875,8.625,-206.2987438302,-206.2987438302
7.1875,0.71875,8.875,-206.048763027439,-206.048763027439
5.3125,0.53125,9.125,-208.073065509329,-208.073065509329
5.9375,0.59375,9.125,-207.194389723162,-207.194389723162
5.9375,0.59375,9.375,-207.590297600175,-207.590297600175
5.9375,0.59375,9.625,-208.188009551993,-208.188009551993
5.9375,0.65625,9.125,-208.245458923335,-208.245458923335
6.5625,0.59375,9.375,-207.953803199687,-207.953803199687
6.5625,0.59375,9.625,-207.752439265618,-207.752439265618
6.5625,0.59375,9.875,-207.763060938513,-207.763060938513
6.5625,0.65625,9.125,-206.541376105107,-206.541376105107
6.5625,0.65625,9.375,-206.866648211389,-206.866648211389
6.5625,0.71875,9.125,-207.427005049965,-207.427005049965
7.1875,0.65625,9.125,-207.716924368382,-207.716924368382
7.1875,0.65625,9.375,-207.245860076546,-207.245860076546
7.1875,0.71875,9.125,-206.059424251105,-206.059424251105
7.1875,0.71875,9.375,-206.316509897103,-206.316509897103
6.5625,0.65625,9.625,-207.409820107776,-207.409820107776
6.5625,0.65625,9.875,-208.159632610314,-208.159632610314
7.1875,0.65625,9.625,-207.014123790464,-207.014123790464
7.1875,0.65625,9.875,-207.009745679599,-207.009745679599
7.1875,0.71875,9.625,-206.806888878554,-206.806888878554
